,Unnamed: 0,Hour,temperature,humidity
0,0,0,24.6,80.39
1,1,1,23.77,83.17
2,2,2,23.66,86.95
3,3,3,23.53,89.43
4,4,4,23.99,91.13
5,5,5,22.82,93.49
6,6,6,23.42,88.6
7,7,7,24.9,83.15
8,8,8,24.84,82.13
9,9,9,25.49,80.23
10,10,10,25.74,81.22
11,11,11,26.62,78.5
12,12,12,27.17,67.74
13,13,13,28.32,62.94
14,14,14,30.11,57.65
15,15,15,28.93,59.94
16,16,16,28.64,63.1
17,17,17,27.16,72.84
18,18,18,26.5,79.87
19,19,19,26.53,81.78
20,20,20,25.79,84.03
21,21,21,24.87,78.56
22,22,22,23.93,82.4
23,23,23,24.46,81.69
