,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,humidity,Hour,temperature
0,0,0,0,0,0,0,0.87,0,23.59
1,1,1,1,1,1,1,0.87,1,23.16
2,2,2,2,2,2,2,0.87,2,22.76
3,3,3,3,3,3,3,0.89,3,22.39
4,4,4,4,4,4,4,0.9,4,22.06
5,5,5,5,5,5,5,0.92,5,21.8
6,6,6,6,6,6,6,0.92,6,21.68
7,7,7,7,7,7,7,0.89,7,21.81
8,8,8,8,8,8,8,0.85,8,22.35
9,9,9,9,9,9,9,0.8,9,23.41
10,10,10,10,10,10,10,0.76,10,24.99
11,11,11,11,11,11,11,0.73,11,26.7
12,12,12,12,12,12,12,0.7,12,28.0
13,13,13,13,13,13,13,0.69,13,28.8
14,14,14,14,14,14,14,0.68,14,29.32
15,15,15,15,15,15,15,0.69,15,29.62
16,16,16,16,16,16,16,0.7,16,29.65
17,17,17,17,17,17,17,0.73,17,29.24
18,18,18,18,18,18,18,0.75,18,28.29
19,19,19,19,19,19,19,0.78,19,26.94
20,20,20,20,20,20,20,0.8,20,25.65
21,21,21,21,21,21,21,0.81,21,24.73
22,22,22,22,22,22,22,0.82,22,24.11
23,23,23,23,23,23,23,0.82,23,23.64
