,Unnamed: 0,Hour,temperature,humidity
0,0,0,27.78,77.6
1,1,1,26.95,80.44
2,2,2,26.7,80.36
3,3,3,26.79,80.06
4,4,4,26.93,79.29
5,5,5,27.9,78.35
6,6,6,27.95,78.39
7,7,7,28.98,75.88
8,8,8,29.99,73.7
9,9,9,31.69,72.79
10,10,10,31.86,73.76
11,11,11,32.48,70.47
12,12,12,32.44,71.13
13,13,13,31.95,71.0
14,14,14,32.44,68.59
15,15,15,33.31,66.98
16,16,16,31.67,70.52
17,17,17,30.92,71.32
18,18,18,30.54,71.72
19,19,19,29.65,76.39
20,20,20,28.19,78.3
21,21,21,27.49,78.17
22,22,22,27.4,78.14
23,23,23,26.69,81.6
